#{"t_start": 1761348068.0671701, "env_id": "None"}
r,l,t
2321.434797,200,29.788159
1046.363633,354,30.230426
-225.815895,290,30.918944
3710.588783,377,30.972837
545.378003,20,30.975774
1572.170863,97,30.989688
781.892747,33,30.994484
3163.565009,275,31.034722
2306.163287,251,31.071249
2398.560887,132,31.090207
2749.623618,408,31.147969
940.900011,117,31.56084
2142.44647,209,31.59082
836.278383,158,31.613219
2085.327663,193,31.641975
642.8089,113,31.658724
-164.204685,383,31.712637
2247.544765,109,31.728114
1555.702137,124,31.745517
1700.138646,153,31.766953
2195.457755,105,31.781848
2266.275472,240,31.815802
1288.330277,204,32.237941
1150.29196,48,32.245437
894.58945,55,32.253314
2877.200785,167,32.276919
490.964914,82,32.288374
1449.19196,71,32.298399
1338.004107,68,32.307981
832.014307,50,32.315035
3344.633081,647,32.405207
4393.682888,802,32.521351
3822.033628,456,32.976169
-2285.762587,377,33.031287
1270.987244,357,33.083524
2562.859731,183,33.10958
-5928.419972,853,33.627188
855.055671,383,33.684146
2064.737112,112,33.700951
2627.687038,476,33.76917
2769.579031,278,33.808631
987.232239,71,33.818665
712.97355,35,33.823736
2275.505142,354,33.874082
2484.712474,210,34.307528
887.119152,72,34.318549
901.301581,55,35.124538
1657.154617,678,35.223542
1901.834398,194,35.251139
1990.21004,212,35.281147
2028.004781,194,35.308154
671.337168,987,35.84359
-138.727334,131,35.862065
2914.73238,751,35.968384
1082.357886,55,35.97616
1850.315201,166,35.99944
2970.187691,235,36.032518
2771.066497,369,36.475983
2539.998939,460,36.541572
2200.548015,634,36.630743
1623.828257,668,36.724289
401.743319,24,36.727695
724.062802,43,36.733818
1038.257529,47,36.740419
1772.800116,65,36.749692
993.216428,54,36.757282
1612.755784,135,37.167087
980.918008,140,37.186904
1811.646778,846,37.311335
-9651.304406,966,37.850336
3084.050543,315,37.895605
1995.954936,618,37.985701
1420.148191,119,38.002932
1379.770115,108,38.018382
979.64581,644,38.110021
1129.248744,56,38.117967
1206.804819,312,39.293243
830.052727,102,39.307859
2679.950075,629,39.398426
4438.051327,488,39.470045
1388.113711,64,39.479645
3591.705955,400,39.537272
2235.334261,154,39.5595
1811.595128,118,39.983949
1978.490993,88,39.998375
-3235.524669,624,40.092469
-4999.138246,636,40.188853
1082.094551,67,40.198855
1202.596035,312,40.245071
2835.299772,464,40.726577
1238.413711,69,40.737368
1420.463538,158,40.761266
757.169856,401,40.819674
2061.398357,95,40.833404
2222.27056,99,40.8477
1774.604026,441,40.910752
1949.878298,124,40.928644
1610.462385,98,40.942628
2477.447225,291,40.983834
459.432562,46,40.990892
1820.753549,198,41.420323
1718.928854,66,41.430037
1616.680251,70,41.440177
-1321.202936,546,41.519569
702.280486,504,41.592795
2236.789778,164,41.617475
2426.054368,149,41.638955
1134.488381,88,41.651801
1296.050713,70,41.662129
2297.19381,477,42.128266
882.985233,58,42.136716
944.388675,47,42.143636
936.927781,71,42.153726
2078.909898,230,42.186503
2213.775324,410,42.244866
1664.036328,61,42.253719
-2424.498683,462,42.318878
1309.729609,110,42.838527
-135.053604,94,42.851957
